Record-ID,Class-0,Class-1,Class-2
Process-rec-001,0.12934495881199837,0.410884172401645,0.4597708664157174
Process-rec-002,0.13638472965648096,0.38738636912838104,0.4762288966486531
Process-rec-003,0.11385006545221105,0.4289352981483235,0.4572146403438905
Process-rec-004,0.08597804468713309,0.48687732062841715,0.4271446246849863
Process-rec-005,0.12917813217198407,0.42832010101389,0.4425017723330745
Process-rec-006,0.17701788879930974,0.4041328068822622,0.41884930431842804
Process-rec-007,0.09962986948850908,0.4831671581456536,0.4172029761891616
Process-rec-008,0.10807346706943853,0.39662152784211296,0.49530500173568726
Process-rec-009,0.10007277679526144,0.4603955050309499,0.43953172365824383
Process-rec-010,0.09635174348950386,0.4890216542614831,0.4146265986892912
Process-rec-011,0.1224791390200456,0.42587694227695466,0.4516439139842987
Process-rec-012,0.0909326641845542,0.48267636750195475,0.4263909571879619
Process-rec-013,0.07884015482529227,0.5094439947399599,0.4117158499771151
Process-rec-014,0.10904873481818608,0.4421306167330061,0.44882065738950455
Process-rec-015,0.08558876540413812,0.44878743902633067,0.46562378735918747
Process-rec-016,0.1589113517353932,0.37836330466800266,0.46272534959846073
Process-rec-017,0.13716580846812576,0.3761499533429742,0.486684238538146
Process-rec-018,0.14783711635090155,0.4001496413658405,0.4520132366953225
Process-rec-019,0.10457290150225163,0.4529037273981992,0.44252336375853596
Process-rec-020,0.0301110118912119,0.7017485512627496,0.26814043074846267
Process-rec-021,0.13246712780424527,0.3821672371455601,0.4853656270674297
Process-rec-022,0.16369631369748422,0.3815367399684845,0.4547669522223934
Process-rec-023,0.10969487145701622,0.45278686158200526,0.43751826692134776
Process-rec-024,0.13748317087690035,0.4149788509715687,0.4475379730715896
Process-rec-025,0.13215147790809473,0.41490272184213,0.45294578770796456
Process-rec-026,0.08519249449929465,0.4949940112621888,0.4198134965870691
Process-rec-027,0.09717219255187294,0.42255822004693927,0.48026957837018097
Process-rec-028,0.09038665686966851,0.5243700137361884,0.3852433254942298
Process-rec-029,0.10758023783564567,0.41884529325697156,0.47357446551322935
Process-rec-030,0.10282896705452473,0.46079275204289344,0.43637827519447575
Process-rec-031,0.1054047771031037,0.46012248005717993,0.43447273783385754
Process-rec-032,0.13558315645371163,0.38520631449563164,0.47921053426606314
Process-rec-033,0.10168435751787715,0.457065047444524,0.44125059247016907
Process-rec-034,0.07757188574307494,0.5139261285463969,0.408501986000273
Process-rec-035,0.11102102129635485,0.45529378092650213,0.43368518442818615
Process-rec-036,0.09531347283526607,0.4674734583367472,0.4372130622682364
Process-rec-037,0.09049813919700682,0.5317444369196892,0.37775741554796693
Process-rec-038,0.15380654390901327,0.32217534221708777,0.5240181103348732
Process-rec-039,0.09485274396444622,0.5141928737100802,0.3909543885996467
Process-rec-040,0.15593207864598793,0.38918248812357586,0.4548854276989446
Process-rec-041,0.16940482541225677,0.40862542945285174,0.42196974366210227
Process-rec-042,0.10206809628289193,0.45163633208721876,0.44629557989537716
Process-rec-043,0.07329931408547018,0.5008115129811423,0.4258891736366311
Process-rec-044,0.16492399009210723,0.38157616002219064,0.45349985105650764
Process-rec-045,0.07671733239355187,0.4724970857302348,0.45078558040161926
Process-rec-046,0.10541813737446708,0.45760938418763025,0.43697247388107435
Process-rec-047,0.12174186846684842,0.3936648957786106,0.48459322892484213
Process-rec-048,0.14568399242125452,0.3801449043676257,0.4741711029782891
Process-rec-049,0.1728676043707749,0.3555626853786666,0.4715697004877288
Process-rec-050,0.1607609106337323,0.36146822630190384,0.4777708620417352
Process-rec-051,0.15784083624534748,0.3808682942215134,0.4612908600007786
Process-rec-052,0.1458587436339794,0.3781219231776702,0.47601933509875566
Process-rec-053,0.10426795200416536,0.45194744250991126,0.4437846035668344
Process-rec-054,0.09735114253126084,0.47011140957474706,0.432537442445755
Process-rec-055,0.10365559350488321,0.46618293478803813,0.4301614693875583
Process-rec-056,0.14126924909651278,0.4054944939911366,0.4532362580299377
Process-rec-057,0.06420182848635775,0.5626823092118288,0.37311586279135484
Process-rec-058,0.09986903064717086,0.47515370219181746,0.42497726281483966
Process-rec-059,0.06968326390382241,0.5981504246592522,0.33216631039977074
Process-rec-060,0.0977441276864786,0.4826897563118684,0.4195661066394103
Process-rec-061,0.10772026958875358,0.4569056909531355,0.4353740345686674
Process-rec-062,0.1265369716203875,0.44204429454273647,0.4314187400870853
Process-rec-063,0.12195242904126644,0.45434374468667166,0.4237038195133209
Process-rec-064,0.07034954132840913,0.5418098954593434,0.3878405492971925
Process-rec-065,0.12906987970751344,0.4865228452465751,0.384407278714758
Process-rec-066,0.08906893755364068,0.4893171217511682,0.421613933847231
Process-rec-067,0.11539788634793179,0.4415156631856351,0.4430864485534462
Process-rec-068,0.10737349452494188,0.4387123570885769,0.4539141561402831
Process-rec-069,0.0885172960406635,0.48697944171726704,0.42450326727703214
Process-rec-070,0.10713765459756057,0.47147250536716345,0.421389844381448
Process-rec-071,0.0898441628763272,0.5062510207776101,0.40390481006714607
Process-rec-072,0.10904844021124224,0.4568693887802862,0.43408218506843815
Process-rec-073,0.10601455764845014,0.4697145037353039,0.4242709348244326
Process-rec-074,0.08309572853329705,0.5238123267162137,0.39309193957142713
Process-rec-075,0.10977380185881082,0.4696960677118862,0.42053012725184946
Process-rec-076,0.08592463734195284,0.5071340831725494,0.40694127555774606
Process-rec-077,0.11921299691312015,0.47586105870349066,0.4049259434853281
Process-rec-078,0.1074788262104166,0.4189317534709799,0.47358942648460123
Process-rec-079,0.096888496612127,0.4636205450082437,0.4394909632511628
Process-rec-080,0.09032310147045387,0.4657406525479423,0.4439362519317203
Process-rec-081,0.12041023130027148,0.40613601012871814,0.4734537595739731
Process-rec-082,0.12812437862157822,0.3996202728965066,0.4722553581902475
Process-rec-083,0.08055318655764185,0.523479748789857,0.39596706737832327
Process-rec-084,0.16483782823471463,0.3538324210573645,0.4813297548714806
Process-rec-085,0.14504704121933426,0.3864958064500676,0.46845714921175047
Process-rec-086,0.11921737508641349,0.38725935055149924,0.4935232659180959
Process-rec-087,0.15264772767982177,0.3441445510233602,0.5032077162496505
Process-rec-088,0.15731901675462723,0.3632559942250902,0.4794249798763882
Process-rec-089,0.1577094023854568,0.3975395647616222,0.4447510376058776
Process-rec-090,0.09736654277031238,0.46754882962275773,0.43508463295606464
Process-rec-091,0.1520597900856625,0.37560618781682215,0.47233403812755237
Process-rec-092,0.17104312322205967,0.3898709722691112,0.439085909889804
Process-rec-093,0.10279000484768082,0.42237462979905743,0.4748353642575881
Process-rec-094,0.12801764539459295,0.4173195383004975,0.4546628102921603
Process-rec-095,0.1462527053748689,0.3605840642277787,0.4931632265812013
Process-rec-096,0.10028250908686055,0.4630315254131953,0.4366859652929836
Process-rec-097,0.12065589743932444,0.417759732121513,0.4615843689867428
Process-rec-098,0.09460717012527688,0.4258960002455218,0.4794968320377942
Process-rec-099,0.13446485804337444,0.4091574874791232,0.4563776633956216
Process-rec-100,0.11003705760107395,0.44845975650117753,0.4415031868092557
Process-rec-101,0.09741207398474216,0.47378254135449727,0.4288053780794144
Process-rec-102,0.11000830454356743,0.41797945174303924,0.4720122561310277
Process-rec-103,0.1674237068121632,0.374701377004385,0.45787491897741955
Process-rec-104,0.14679895780019223,0.37291752234581976,0.4802835247208995
Process-rec-105,0.1705914122155971,0.3759581935074594,0.45345040659109753
Process-rec-106,0.16172063308504392,0.4144247849032564,0.4238545709061173
Process-rec-107,0.1844422712519362,0.36195478286292104,0.453602942260536
Process-rec-108,0.07414831316564233,0.5911018302043279,0.3347498560945193
Process-rec-109,0.04901792629647793,0.6524749712811576,0.2985071119748884
Process-rec-110,0.04603769247316652,0.6312874732194124,0.32267483282420373
Process-rec-111,0.052128416667174965,0.6064162842101521,0.34145530064900714
Process-rec-112,0.036982021851303136,0.65775257025076,0.3052654123824576
Process-rec-113,0.1015691717935575,0.536526079113419,0.3619047495964411
Process-rec-114,0.07603482010870657,0.5632157120211371,0.36074947129035817
Process-rec-115,0.11616794969886542,0.4760309740900993,0.4078010872006416
Process-rec-116,0.14141514883018458,0.39550382586625904,0.4630810228677896
Process-rec-117,0.14076785477144377,0.4342255251748221,0.4250066408089229
Process-rec-118,0.09419769891915289,0.5234206794081507,0.3823816232584618
Process-rec-119,0.03920956701040268,0.6056593060493469,0.3551310896873474
